blend_name,company_name,description,flavors,vendor_location,notes,origin,price,review_date,roast,vendor_phone,vendor_website
Colombia Special Process Microlot 511 “Memory Orchard” Espresso,Simon Hsieh's Aroma Roast Coffees,"Evaluated as espresso. Sweet, deep, balanced. Dark chocolate, grapefruit, fresh-cut cedar, crisp flowers – lavender, freesia – in aroma and small cup. Heavy, syrupy, almost chewy mouthfeel; dark chocolate and cedar in a rich though drying finish. Strong presence in three parts milk: dark chocolate, cedar, flowers, anise.","['Chocolatey', 'Fruity', 'Earthy/Herbal', 'Floral', 'Spice']","Taoyuan City, Taiwan","['Chocolate', 'Grapefruit', 'Cedar', 'Lavender', 'Anise']",Colombia,"NT $2,000/16 ounces",May 2015,Medium,886-0983-749876,
Costa Rica Sonora Bourbon Natural,Temple Coffee and Tea,"Brisk yet juicy; complex. Honey, hazelnut, roasted cacao nib, peach, wisteria-like flowers in aroma and cup. Crisp, balanced acidity; lightly smooth, satiny mouthfeel. Peach, honey and cacao nib in particular carry into a flavor-saturated finish.","['Sweet', 'Nutty', 'Chocolatey', 'Fruity']","Sacramento, California","['Honey', 'Hazelnut', 'Cacao', 'Peach']","Central Valley, Costa Rica.",$19.00/12 ounces,May 2015,Light,916-454-1282,www.templecoffee.com
The Secret Coffee,Comestible Master Company,"Evaluated as espresso. Exhilaratingly bright without sharpness; juicy. Mango, pineapple, roasted cacao nib, honeysuckle-like flowers in aroma and small cup. Lively, effervescent mouthfeel. The pineapple fruit softens and the cacao nib deepens toward chocolate in a long, very sweet finish. In three parts milk the tropical fruit notes turn almost buttery: think ripe papaya.","['Fruity', 'Chocolatey']","Taichung, Taiwan","['Mango', 'Pineapple', 'Cacao', 'Chocolate', 'Papaya']","Yirgacheffe growing region, southern Ethiopia.",NTD $600/227 grams,May 2015,Light,,www.thesecretcake.com.tw
Panama Finca Hartmann,Temple Coffee and Tea,"Monumental yet elegant. Explosive aromatics: Papaya and orange, baker’s chocolate, sweet layered flowers (lilac, honeysuckle), pungent hints of juniper and myrrh carry intact into the cup. Brisk but juicy acidity; full, syrupy mouthfeel. A dry chocolate hint in particular carries into a deep, long finish.","['Fruity', 'Chocolatey', 'Floral']","Sacramento, California","['Papaya', 'Orange', 'Chocolate', 'Honeysuckle']","Santa Clara, Panama.",$17.50/12 ounces,May 2015,Light,916-454-1282,www.templecoffee.com
Sumatra Ulos Batak,Temple Coffee and Tea,"Deeply complex, resonant. Lavender-like flowers, perique-like fermented tobacco, white truffle, pink grapefruit, and supporting it all a fudgy chocolate. Richly balanced acidity, lightly syrupy and lively mouthfeel. Chocolate, tobacco and flowers all carry with impressive continuity into a long finish.","['Earthy/Herbal', 'Fruity', 'Chocolatey']","Sacramento, California","['Tobacco', 'Grapefruit', 'Chocolate']","Lintong growing region, North Sumatra Province, Indonesia.",$18.00/12 ounces,May 2015,Medium-Light,916-454-1282,www.templecoffee.com
Espresso Blend,Big Nose Cafe,"Evaluated as espresso. Lush tropical fruit and tart berry dominates with a chocolaty depth that for co-taster Ethan Hill (94) evoked “chocolate-covered raisin and tropical fruit.” Ken (94) for his part cited cleanly sweet alcohol suggestions (“fruity cabernet”), and both remarked on a sweetly tart pineapple top note that carried throughout the profile. For both tasters the mouthfeel was “plush [and] velvety,” the finish a bit drying but still saturated with the fruit and chocolate suggestions. In three parts milk the fruit and chocolate rounded but persisted with satisfying continuity.","['Fruity', 'Chocolatey']","Hsinchu City, Taiwan","['Raisin', 'Pineapple', 'Chocolate']","Panama; Sidamo and Yirgacheffe growing regions, southern Ethiopia; Bolivia; Brazil.",NT $520/225 grams,May 2015,Medium,886-3-5350609,
Sillvia Solkiln N2 Level 95,AHRIRE Roasting,"Beautifully structured, seething with intricate aroma and flavor notes. Lavender, jasmine, kiwi, pomegranate, sandalwood, much more in aroma and cup. Sweetly juicy, complexly expressed acidity; syrupy, gently buoyant mouthfeel. Flavor carries deep into a long, arcing finish.","['Floral', 'Fruity']","Pu’Er, Yunnan Province, China","['Lavender', 'Jasmine', 'Kiwi', 'Pomegranate']","Silla Del Pando, Volcan, Panama.",RMB $350/75 grams,April 2015,Medium-Light,,
Sweet Maria’s Acatenango Gesha,AHRIRE Roasting,"Gentle and roundly bright, quietly intricate. Honeydew melon, almond, spicy fresh-cut redwood, lush lily in aroma and cup. Suave, lively acidity; satiny mouthfeel. Poised, gently flavor-saturated finish.","['Fruity', 'Nutty']","Pu’Er, Yunnan Province, China","['Honeydew', 'Almond']","Acatenango growing region, central Guatemala.",RMB $234/125 grams,April 2015,Medium-Light,,
Keremara AA Kenya,Barrington Coffee Roasting Co.,"Softly pungent, lushly exhilarating. Narcissus-like flowers, dark chocolate, sweet lime, myrrh in aroma and cup. Quietly though complexly bright acidity; buoyant, syrupy mouthfeel. Flavor carries deep into a sweet finish.","['Chocolatey', 'Fruity']","Lee, Massachusetts","['Chocolate', 'Lime']","Nyeri growing region, south-central Kenya.",$18.45/12 ounces,April 2015,Medium-Light,800-528-0998,www.barringtoncoffee.com
Tchembe Gedeo Ethiopia,Barrington Coffee Roasting Co.,"Juicy, velvety, complete. Crisp roasted cacao nib, ripe citrus and strawberry, honeysuckle, sandalwood in aroma and cup. Gently vibrant, perfectly balanced acidity; plush mouthfeel. Sweet, flavor-saturated finish.","['Chocolatey', 'Fruity', 'Floral']","Lee, Massachusetts","['Cacao', 'Strawberry', 'Honeysuckle']","Gedeo Zone, southern Ethiopia.",$30.95/12 ounces,April 2015,Medium-Light,,
Ethiopia Yirgacheffe Gedeo,Flight Coffee Co.,"Lush, intricate, with a deep, cushiony sweetness. Lavishly complex floral notes – cherry blossom, lavender, saffron, more – complicated by mulberry, tangerine and a crisp roasted cacao nib. Round, floral-toned acidity; plush, lightly syrupy mouthfeel. Flavor, particularly the floral notes, sustain in a long, balanced, lightly drying finish.","['Fruity', 'Floral', 'Chocolatey']","Bedford, New Hampshire","['Cherry', 'Lavender', 'Tangerine', 'Cacao']","Yirgacheffe growing region, south-central Ethiopia.",$14.50/12 ounces,April 2015,Light,603-836-6228,www.flightcoffeeco.com
Finca La Aurora Camilina Geisha,Dragonfly Coffee Roasters,"Massively complex: original; brisk yet juicy. Lilac, tropical fruit, floral-toned herb, vanilla, frankincense in aroma and cup. Big, richly juicy acidity; syrupy mouthfeel. Flowers and fruit leave the herbs and incense behind in a long, shimmering finish.",['Sweet'],"Boulder, Colorado",['Vanilla'],"Piedra Candela, Chiriqui Province, far western Panama.",$48.50/8 ounces,April 2015,Light,303-579-2154,www.dragonflycoffeeroasters.com
Sumatra Lake Toba Peaberry,Papa Lin's Coffee Roasting,"Soft, enveloping, resonantly complex. Rose and violet floral notes, apricot, dark chocolate, clove and marjoram in aroma and cup. Bright, juicy acidity; satiny, buoyant mouthfeel. Flavor consolidates in a brisk short finish; floral and chocolate return sweetly in the long.","['Floral', 'Fruity', 'Chocolatey', 'Spice']","Yorktown Heights, New York","['Rose', 'Apricot', 'Chocolate', 'Clove']","Lake Toba growing region, northern Sumatra, Indonesia.",$18.00/12 ounces,April 2015,Medium,,www.papalins.com
Sumatra Ulos Batak,Equator Coffees & Teas,"Big, pungent, zesty. Pink peppercorn, grapefruit, narcissus, brown sugar in aroma and cup. Lilting, very sweetly and gently bright acidity; light, silky mouthfeel. Flowers and citrus in particular saturate a crisply drying finish.",['Fruity'],"San Rafael, California",['Grapefruit'],"Lintong growing region, North Sumatra Province, Indonesia.",$17.25/12 ounces,April 2015,Medium-Light,800-809-7687,www.equatorcoffees.com
Ethiopian Washed Kochere G1 SO Espresso,Café de Impression,"Evaluated as espresso. Vibrantly rich, sweet, intense. Chocolate fudge, passion-fruit, mango, jasmine, sandalwood in aroma and small cup. Smooth, silky mouthfeel. Flavor consolidates around cocoa and sandalwood in a resonant, slightly drying finish. Chocolate dominates in three parts milk with continued hints of passion-fruit and mango.","['Chocolatey', 'Fruity', 'Floral']","Kaohsiung City, Taiwan","['Chocolate', 'Mango', 'Jasmine', 'Cocoa']","Kochere, Yirgacheffe growing region, south-central Ethiopia.",$12.00/16 ounces,April 2015,Medium,,
Colombia Granja La Esperanza Grand Cru Mokka,PT's Coffee Roasting Co.,"Sweetly bright; exhilaratingly floral. Honeysuckle, lavender, apple, walnut in aroma and cup. Crisp, very sweet acidity; lively, syrupy mouthfeel. The distinct apple and floral notes carry into a long, resonant finish.","['Floral', 'Fruity', 'Nutty']","Topeka, Kansas","['Honeysuckle', 'Lavender', 'Apple', 'Walnut']","Valle del Cauca growing region, Colombia.",$27.50/12 ounces,March 2015,Light,888-678-5282,www.ptscoffee.com
Panama Esmeralda Geisha,Big Shoulders Coffee,"Very sweet, exhilaratingly floral, lavishly complex. Lavender honey; floral notes ranging from violet to lily; candied lemon and blood orange; roasted cacao nib; black cherry in aroma and cup. Delicate, gently crisp, very sweet acidity; syrupy, buoyant mouthfeel. Deep, long, resonantly flavor-saturated finish.","['Floral', 'Sweet', 'Fruity', 'Chocolatey']","Chicago, Illinois","['Lavender', 'Honey', 'Lemon', 'Orange', 'Cacao', 'Cherry']","Boquete growing region, western Panama.",$46.00/10 ounces,March 2015,Medium-Light,312-888-3042,www.bigshoulderscoffee.com
Rum-Barrel Conditioned Ethiopia Gelena Abaya,OQ Coffee Co.,"The intoxicating spirits-rich aromas of the cask dominate in the nose, but a fine coffee character emerges in the cup to balance and support the casky rum notes with suggestions of dark chocolate, vanilla, raspberry, almond, passion flower. Smooth, rounded acidity; plush, buoyant mouthfeel. Very long, resonantly flavor-saturated finish.","['Chocolatey', 'Sweet', 'Fruity', 'Nutty']","Highland Park, New Jersey","['Chocolate', 'Vanilla', 'Raspberry', 'Almond']","Kersa district, Oromia region, southern Ethiopia.",$12.00/8 ounces,March 2015,Light,,www.oqcoffee.com
Finca La Mula Panama Geisha,JBC Coffee Roasters,"Intense, flamboyantly lush yet elegantly crisp. Complex floral notes (lilac to lavender), roasted cacao nib, mango, sandalwood, a hint of rye whisky in aroma and cup. Richly and sweetly tart acidity; full, syrupy mouthfeel. Long, resonant, deeply flavor-saturated finish.","['Floral', 'Chocolatey', 'Fruity']","Madison, Wisconsin","['Lavender', 'Cacao', 'Mango']","Chiriqui, western Panama.",$49.25/8 ounces,March 2015,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
Milepost Kenya Nyeri Ruarai,Red Rooster Coffee Roaster,"Very sweet, very tart, intense. Red currant, honey, blood orange, cumin, narcissus-like flowers in aroma and cup. Richly bright acidity; syrupy but lively mouthfeel. Flavor consolidates and acidity rounds in a resonant finish.","['Sweet', 'Fruity']","Floyd, Virginia","['Honey', 'Orange']","Nyeri growing region, south-central Kenya.",$18.00/12 ounces,March 2015,Medium-Light,540-745-7338,
Kenya Thiriku,Chocolate Fish Coffee Roasters,"Deep, resonant, opulent. Blackberry, kumquat, chocolate fudge, the lush scent of plumeria in aroma and cup. Big, juicy acidity; syrupy though buoyant mouthfeel. The blackberry and chocolate notes in particular lead into a very sweet, flavor-saturated finish.","['Fruity', 'Chocolatey']","Sacramento, California","['Blackberry', 'Chocolate']","Nyeri growing region, south-central Kenya.",$17.50/12 ounces,March 2015,Medium-Light,916-451-5181,www.chocolatefishcoffee.com
Ari-Ari Seuri-Seuri,Noelia Coffee,"Immense; opulent. Strawberry guava, grapefruit, roasted cacao-nib, sandalwood, hop flowers in aroma and cup. Crisply juicy acidity; full, satiny mouthfeel. Crisply sweet-toned, resonantly dry finish.",['Fruity'],"Paju City (Gyeonggi-do), South Korea","['Strawberry', 'Grapefruit']",Kenya; Ethiopia.,$12.00/200 grams,March 2015,Medium-Light,82-31-962,
Jazz Apricot (Espresso),Future Factory,"Evaluated as espresso. Deep, richly sweet. Chocolate fudge, mango, wisteria, vanilla in aroma and small cup. Full, syrupy mouthfeel. The finish is crisply dry; flavor consolidates as a cedar-toned chocolate. Richly chocolaty in three-parts milk with continued hints of fruit and flowers.","['Chocolatey', 'Fruity', 'Sweet']","Taipei, Taiwan","['Chocolate', 'Mango', 'Vanilla']","Sidamo and Yirgacheffe, Ethiopia; Kenya; Sumatra.",NTD $500/16 ounces,March 2015,Medium,,
Ethiopia Biloya Organic,Olympia Coffee Roasting,"Delicate but extraordinarily intricate. Passion flower, orange, loquat, sandalwood, frankincense in aroma and cup. Sweetly bright, juicy acidity; light, silky mouthfeel. Flavor resonates far into a long finish with very little loss of complexity.",['Fruity'],"Olympia, Washington",['Orange'],"Gedeo Zone, Yirgacheffe growing region, southern Ethiopia.",$16.75/12 ounces,March 2015,Medium-Light,360-753-0066,www.olympiacoffeeroasting.com
Organic Ethiopian Worka Special Prep,Kickapoo Coffee Roasters,"Sweetly bright and lushly nectar-like. Nectarine, roasted cacao nib, lemon zest, freesia-like flowers in aroma and cup. Roundly sweet, juicy acidity; plush, buoyant mouthfeel. Flavor consolidates but lasts in a cleanly resonant, lightly drying finish.","['Fruity', 'Chocolatey']","Driftless, Wisconsin","['Nectarine', 'Cacao', 'Lemon']","Yirgacheffe growing region, southern Ethiopia.",$17.75/12 ounces,March 2015,Light,,
Ethiopia Washed Yirgacheffe Alemu Station,Kakalove Cafe,"Intense, complex, sweetly pungent. Honeysuckle, tangerine, apricot and plum, spicy aromatic wood. Richly and roundly bright acidity; silky mouthfeel. Bright, mildly drying, flavor-saturated finish.","['Floral', 'Fruity']","Chia-Yi, Taiwan","['Honeysuckle', 'Tangerine', 'Apricot', 'Plum']","Yirgacheffe growing region, south-central Ethiopia.",$18.00/16 ounces,February 2015,Light,,www.kakalovecafe.com.tw
Kenya Kianjuri AB,Dragonfly Coffee Roasters,"Deep, subtle, pungent. Raspberry, pluot, violet, vanilla, fresh-cut oak in aroma and cup. Gently tart acidity; light but distinctly syrupy-textured mouthfeel. Fruit and floral notes – violet, vanilla – carry into a rich, exceptionally long finish.","['Fruity', 'Sweet']","Boulder, Colorado","['Raspberry', 'Vanilla']","Meru County, central Kenya.",$18.00/12 ounces,February 2015,Medium,303-579-2154,www.dragonflycoffeeroasters.com
Kenya Nyeri Tambaya Peaberry,Victrola Coffee Roasters,"Juicy but savory, deep, subtle. Mulberry, dark chocolate, black sage, narcissus in aroma and cup. Roundly and richly tart acidity; syrupy mouthfeel. Flavor thins out a bit but rings on in a resonant finish.","['Chocolatey', 'Earthy/Herbal']","Seattle, Washington","['Chocolate', 'Sage']","Nyeri growing region, south-central Kenya.",$19.50/12 ounces,February 2015,Medium,206-624-1725,www.victrolacoffee.com
Ethiopian Yirgacheffe Idido Natural,Dragonfly Coffee Roasters,"Richly and intricately crisp; balanced. Tangerine, roasted cacao nib, fragrant lily, musk, almond. Light-footed, lively acidity; satiny mouthfeel. Flavor consolidates around lily and citrus in a gently drying finish.","['Fruity', 'Chocolatey', 'Nutty']","Boulder, Colorado","['Tangerine', 'Cacao', 'Almond']","Yirgacheffe growing region, southern Ethiopia.",$18.00/12 ounces,February 2015,Medium-Light,303-579-2154,www.dragonflycoffeeroasters.com
Kenya AA,GreenAlives,"Big, brightly sweet, intense. Complex fruit – red currant, peach, orange – honeysuckle, musk, sandalwood in aroma and cup. Richly tart acidity; full, plush mouthfeel. Long, sweet-toned, resonantly flavor-saturated finish.","['Fruity', 'Floral']","New Taipei City, Taiwan","['Peach', 'Orange', 'Honeysuckle']",Central Kenya.,NT$500/8 ounces,January 2015,Medium-Light,886-0921-884,www.greenalives.com
Ethiopia Suke Quto Organic,Paradise Roasters,"Intricate, exhilarating; crisp yet juicy. Honey, roasted cacao nib, tangerine, sandalwood and very complex flowers, particularly rose and jasmine, in aroma and cup. Juicy, gently tart acidity; plush mouthfeel. Flavor consolidates but persists in a long, sweet, resonant finish.","['Sweet', 'Chocolatey', 'Fruity', 'Floral']","Ramsey, Minnesota","['Honey', 'Cacao', 'Tangerine', 'Rose', 'Jasmine']","Guji Zone, Oromia Region, Sidamo growing region, south-central Ethiopia.",$14.95/12 ounces,January 2015,Medium,763-433-0626,www.paradiseroasters.com
Espresso Blend Spring 15,GreenAlives,"Evaluated as espresso. Crisp, sweetly pungent, quietly complex. Dark chocolate, tangerine, rich-toned cedar, lily-like flowers in aroma and small cup. Full, syrupy mouthfeel; crisp finish. Fills out three parts milk nicely, with fat mouthfeel and good persistence of chocolate, cedar and tangerine notes.","['Chocolatey', 'Fruity', 'Earthy/Herbal']","New Taipei City, Taiwan","['Chocolate', 'Tangerine', 'Cedar']",Ethiopia; Sumatra; Central America.,NT$290/8 ounces,January 2015,Medium,886-0921-884,www.greenalives.com
